,品种名称,代码,R^2,f_p_value,coeff_constant,p_value_constant,coeff_market,p_value_Market,coeff_SMB,p_value_SMB,coeff_HML,p_value_HML
0,包钢股份,600010,0.6092371166227399,1.1291667643378875e-09,0.017310522696615628,0.9608808039497021,1.1128519860358354e-07,1.1128519860358354e-07,0.0008974768118180983,0.0008974768118180983,0.030676209984343457,0.030676209984343457
1,北方稀土,600111,0.1765213486122349,0.02646931822769855,0.46917741616710656,0.51846624484647,0.01100147932333787,0.01100147932333787,0.25705319539769894,0.25705319539769894,0.8052024093191407,0.8052024093191407
2,恒力石化,600346,0.3005268038173394,0.0007165352198031049,1.0546124491031235,0.20859376999010365,0.0002755138154172523,0.0002755138154172523,0.10363841999399648,0.10363841999399648,0.7249064688438591,0.7249064688438591
3,华友钴业,603799,0.187463457892739,0.023947720596423753,0.38738292067529734,0.7689003763498513,0.004452561974032741,0.004452561974032741,0.46925887115123266,0.46925887115123266,0.17310980417462535,0.17310980417462535
4,中远海控,601919,0.5685781111309911,1.1194319008789404e-08,0.2114399706168278,0.727312029429104,7.567540383749899e-09,7.567540383749899e-09,0.7026459687318198,0.7026459687318198,0.48430504939123453,0.48430504939123453
5,长城汽车,601633,0.3230398834456457,0.0003429347505033793,0.6573793126218767,0.5001110930058399,7.50629663728433e-05,7.50629663728433e-05,0.32863965300915143,0.32863965300915143,0.9534999596245696,0.9534999596245696
6,长江电力,600900,0.04218895831770375,0.5626661767046222,0.29577947916393055,0.39033612408365903,0.16099199469301884,0.16099199469301884,0.9691515853605229,0.9691515853605229,0.7362201043385861,0.7362201043385861
7,片仔癀,600436,0.5097520110213576,2.145682331410322e-07,-0.7289523113468184,0.15702447580956974,1.7565651566685362e-08,1.7565651566685362e-08,0.04676299753790373,0.04676299753790373,0.0008009147340458631,0.0008009147340458631
8,紫金矿业,601899,0.2418753066637408,0.00492229453285673,0.1749754715268116,0.7977138182486619,0.00042338044071330206,0.00042338044071330206,0.473076123959681,0.473076123959681,0.24759266255006276,0.24759266255006276
9,航发动力,600893,0.6126136229669787,2.334815197578185e-09,-0.44473712394212334,0.18373970859626682,1.3953640388243183e-09,1.3953640388243183e-09,0.010182029672678955,0.010182029672678955,0.39933730754687136,0.39933730754687136
10,山西汾酒,600809,0.4539843841646499,2.558366474744763e-06,0.32064146386652564,0.6100460775570767,1.7505525530926768e-06,1.7505525530926768e-06,0.016186477338801412,0.016186477338801412,5.131489934843825e-05,5.131489934843825e-05
11,通威股份,600438,0.2180769496734658,0.00855837626975329,-0.12913695644773687,0.9084171140722754,0.0009481943663694276,0.0009481943663694276,0.4734875691680078,0.4734875691680078,0.04986647961895584,0.04986647961895584
12,兆易创新,603986,0.26664190799960086,0.002067011446579725,1.8930843585231474,0.12066154000387158,0.00032382764833189176,0.00032382764833189176,0.30659436784030863,0.30659436784030863,0.37446246024599106,0.37446246024599106
13,韦尔股份,603501,0.39101045983080673,3.107849794720691e-05,2.259205209875444,0.03982729903460044,1.270338665566601e-05,1.270338665566601e-05,0.06724696101187959,0.06724696101187959,0.028208362040055508,0.028208362040055508
